Wavelength_microns Throughput
2.0004663860000003 2.390196294236149e-10
2.002074478 2.160996784892883e-10
2.00368257 1.9645550305915482e-10
2.005290662 1.7940985164431802e-10
2.006898754 1.6458272086068446e-10
2.008506846 1.5268995030622053e-10
2.010114938 1.4210976983390968e-10
2.01172303 1.3209476270212546e-10
2.013331122 1.2445046974974348e-10
2.014939214 1.1842981071084806e-10
2.016547306 1.1173234036273478e-10
2.018155398 1.0711530751930805e-10
2.01976349 1.0182630821631163e-10
2.021371582 9.816449337136778e-11
2.022979674 9.440278415122273e-11
2.0245877660000002 8.946410241953151e-11
2.026195858 8.588622701017104e-11
2.027803949 8.255073121248535e-11
2.029412041 8.009234092167493e-11
2.031020133 7.827060007866903e-11
2.032628225 7.72526396695392e-11
2.034236317 7.579443178906535e-11
2.035844409 7.557205484941953e-11
2.037452501 7.565302561394247e-11
2.039060593 7.561399599642436e-11
2.040668685 7.635322335246929e-11
2.042276777 7.616112600386928e-11
2.0438848689999998 7.611018871128108e-11
2.045492961 7.642118815626292e-11
2.047101053 7.704250331255163e-11
2.0487091449999997 7.878003934678751e-11
2.0503172370000002 8.068666194323926e-11
2.0519253290000004 8.229975743621505e-11
2.053533421 8.498335753092009e-11
2.055141513 8.707977895092859e-11
2.056749605 9.016943791042279e-11
2.058357697 9.435216013860933e-11
2.059965788 1.0043930514217497e-10
2.06157388 1.0662541279393837e-10
2.0631819719999998 1.1307317710225442e-10
2.064790064 1.2002853609468016e-10
2.066398156 1.2759841564738412e-10
2.068006248 1.3672775228740147e-10
2.06961434 1.4739789139928048e-10
2.071222432 1.5936989226982074e-10
2.072830524 1.7429278478343633e-10
2.074438616 1.893146050473386e-10
2.076046708 2.0704071456449325e-10
2.0776548 2.2613075746418782e-10
2.079262892 2.499120276819478e-10
2.080870984 2.7810796066524067e-10
2.0824790760000003 3.115804671253679e-10
2.084087168 3.524287787773991e-10
2.08569526 3.987389260197476e-10
2.0873033519999997 4.5292072421010186e-10
2.088911444 5.152887217028098e-10
2.090519536 5.895438224020185e-10
2.092127627 6.776679851256612e-10
2.0937357189999997 7.836701046665268e-10
2.0953438110000002 9.17383309219325e-10
2.0969519030000003 1.0704161233796021e-09
2.098559995 1.256386036199619e-09
2.100168087 1.484069721070497e-09
2.101776179 1.7230777985802739e-09
2.103384271 1.9960145975406637e-09
2.104992363 2.3076239899193997e-09
2.1066004549999997 2.639704075064006e-09
2.1082085470000003 3.0086665931951522e-09
2.109816639 3.3900336777049683e-09
2.111424731 3.7578843231376545e-09
2.113032823 4.077023839530271e-09
2.114640915 4.320671202542484e-09
2.116249007 4.5410947913220585e-09
2.1178570989999996 4.652336605806478e-09
2.1194651909999997 4.673640814815604e-09
2.1210732830000003 4.632472818577434e-09
2.122681375 4.528630034249442e-09
2.124289466 4.3738215378021765e-09
2.125897558 4.2321744613997355e-09
2.1275056500000002 4.094539413479462e-09
2.129113742 3.965424249715703e-09
2.130721834 3.864851866699928e-09
2.1323299259999997 3.770906843671343e-09
2.133938018 3.694159856602022e-09
2.1355461100000004 3.626096534403433e-09
2.137154202 3.563180707539524e-09
2.138762294 3.50214500775756e-09
2.140370386 3.42942804500677e-09
2.141978478 3.353955511796465e-09
2.14358657 3.282683883299658e-09
2.1451946619999998 3.2147936035201533e-09
2.146802754 3.126759585202326e-09
2.1484108460000004 3.026490239192273e-09
2.150018938 2.9239541949659758e-09
2.15162703 2.8089505620648412e-09
2.153235122 2.7021660602865703e-09
2.154843214 2.5717145206638504e-09
2.156451305 2.457968915791434e-09
2.158059397 2.278217237373073e-09
2.159667489 2.114757997326739e-09
2.161275581 1.9456048406616742e-09
2.1628836729999996 1.7766667522094865e-09
2.164491765 1.6413005278716262e-09
2.1660998570000003 1.534910530745168e-09
2.167707949 1.4456342795348293e-09
2.169316041 1.398145834007012e-09
2.170924133 1.3518150010656705e-09
2.172532225 1.2995586336257974e-09
2.174140317 1.2494652103668196e-09
2.1757484089999997 1.1707004033244333e-09
2.177356501 1.0818965060730634e-09
2.1789645930000003 9.930599149822373e-10
2.180572685 9.034395755227439e-10
2.182180777 8.287612015078754e-10
2.183788869 7.671057536337353e-10
2.185396961 7.133819247130609e-10
2.187005053 6.926008382086612e-10
2.1886131449999997 6.8254290038573e-10
2.1902212359999997 6.60811066549758e-10
2.191829328 6.444548053937162e-10
2.1934374200000004 6.256132110782705e-10
2.195045512 6.282035420241369e-10
2.196653604 6.752717182210689e-10
2.198261696 7.418577024668573e-10
2.199869788 8.192280013197506e-10
2.20147788 8.729335389570233e-10
2.203085972 9.252238079664361e-10
2.204694064 1.1185481633600907e-09
2.206302156 1.2077056914898474e-09
2.207910248 1.3206887323637623e-09
2.2095183400000002 1.3815234389263496e-09
2.211126432 1.4754095087118948e-09
2.212734524 1.5258899008290907e-09
2.2143426159999997 1.5393688365265377e-09
2.215950708 1.5241588437055562e-09
2.2175588 1.4383945211617527e-09
2.219166892 1.5246189033411534e-09
2.220774984 2.008325815953268e-09
2.222383075 2.7540135985597623e-09
2.2239911670000003 3.6733638621033925e-09
2.225599259 4.68757738072861e-09
2.227207351 5.764436004251022e-09
2.228815443 5.824620162544589e-09
2.230423535 5.851841943333135e-09
2.232031627 4.738827950329855e-09
2.2336397189999997 4.3210427222442886e-09
2.2352478110000003 3.742326528672646e-09
2.236855903 2.8196100451864747e-09
2.238463995 2.22707427281402e-09
2.240072087 2.6048251295134205e-09
2.241680179 3.2732124379112947e-09
2.243288271 4.100388088671833e-09
2.2448963629999996 5.2855307750601806e-09
2.2465044549999997 7.439257877402676e-09
2.2481125470000003 7.984857671087282e-09
2.249720639 8.701601023294155e-09
2.251328731 8.143822285631096e-09
2.252936823 7.950290797109272e-09
2.2545449140000002 9.040513554169842e-09
2.256153006 1.2972008124618379e-08
2.257761098 1.852538904885185e-08
2.2593691899999997 2.2333356741896514e-08
2.260977282 2.648992963026027e-08
2.262585374 2.738416755032351e-08
2.264193466 2.3868707907692788e-08
2.265801558 2.3446703220139104e-08
2.2674096500000003 1.6953886074709564e-08
2.269017742 1.85000190308194e-08
2.270625834 2.6757574800757622e-08
2.2722339259999997 3.201467839863939e-08
